"ID",Title,Authors,Status in the selection phase,Status in the full-reading phase,Year,Journal/Conference,Inclusion or Exclusion Criteria (Selection Phase),Inclusion or Exclusion Criteria (Full-reading Phase),Method,Quality criteria,Collaborative activity,Object under evaluation,Type of approach
504,Where in the World Are You? Geolocation and Language Identification in Twitter,"Graham, M. and Hale, S.A. and Gaffney, D.",REJECTED,UNCLASSIFIED,2014,Professional Geographer,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
505,Where the  Paddle  Meets the  Stream:  Bridging  Systems  Design  Theory and  Community-based  Monitoring  Practice,"Sheppard, S. Andrew",REJECTED,UNCLASSIFIED,2014,17th  ACM  Conference on  Computer  Supported  Cooperative  Work and  Social  Computing,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
506,Who is the  Barbecue  King of  Texas?:  A  Geo-spatial  Approach to  Finding  Local  Experts on  Twitter,"Cheng, Zhiyuan and Caverlee, James and Barthwal, Himanshu and Bachani, Vandana",REJECTED,UNCLASSIFIED,2014,37th  International  ACM  SIGIR  Conference on  Research and  Development in  Information  Retrieval,(E9) the primary study is not related to quality assessment or volunteered geographic information; ,,,,,,
507,"Who,  Where, when and  What:  Discover  Spatio-temporal  Topics for  Twitter  Users","Yuan, Quan and Cong, Gao and Ma, Zongyang and Sun, Aixin and Thalmann, Nadia Magnenat-",REJECTED,UNCLASSIFIED,2013,19th  ACM  SIGKDD  International  Conference on  Knowledge  Discovery and  Data  Mining,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
508,Who's time is it anyway?: Investigating the accuracy of camera timestamps,"Thomee, B.a  and Moreno, J.G.b  and Shamma, D.A.a ",REJECTED,UNCLASSIFIED,2014, ACM Conference on Multimedia,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
509,Wisdom about the crowd: Assuring geospatial data quality collected in location-based games,"Matyas, S.a  and Kiefer, P.a  and Schlieder, C.a  and Kleyer, S.b ",REJECTED,UNCLASSIFIED,2011,Lecture Notes in Computer Science ,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
510,"Workshop Towards Digital Earth: Search, Discover and Share Geospatial Data ",,REJECTED,UNCLASSIFIED,2010,CEUR Workshop Proceedings,(E8) the primary study is a conference summary or call for papers; ,,,,,,
511,World-wide  Scale  Geotagged  Image  Dataset for  Automatic  Image  Annotation and  Reverse  Geotagging,"Mousselly-Sergieh, Hatem and Watzinger, Daniel and Huber, Bastian and Doller, Mario and Egyed-Zsigmond, Elod and Kosch, Harald",REJECTED,UNCLASSIFIED,2014,5th  ACM  Multimedia  Systems  Conference,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
512,"Wq:  A  Modular  Framework for  Collecting,  Storing, and  Utilizing  Experiential  VGI","Sheppard, S. Andrew",REJECTED,UNCLASSIFIED,2012,1st  ACM  SIGSPATIAL  International  Workshop on  Crowdsourced and  Volunteered  Geographic  Information,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
513,Zebra Crossing Spotter: Automatic Population of Spatial Databases for Increased Safety of Blind Travelers,"Ahmetovic, Dragan and Manduchi, Roberto and Coughlan, James M. and Mascetti, Sergio",REJECTED,UNCLASSIFIED,2015,17th International ACM SIGACCESS Conference on Computers and Accessibility,(E9) the primary study is not related to quality assessment or volunteered geographic information; ,,,,,,
